Group ID,Label,Data Type,Valid Experiments,Target Flow,Target T_in,Real Flow (mL/min),Flow Exp. Unc. (±),Permeate Flux (g/min),Flux Exp. Unc. (±),Relative Unc. (%),Valid Replicates (n),Std. Unc. Type A,Comb. Std. Unc. (uc),Effective DOF,Coverage Factor (k),T1_mean,T1_u_expanded,T2_mean,T2_u_expanded,T3_mean,T3_u_expanded,T4_mean,T4_u_expanded,P1_mean,P1_u_expanded,P2_mean,P2_u_expanded
800 ml/min | 50°C,G03 · 800 ml/min | 50°C,experimento único,10,800 ml/min,50°C,710.06,5.317,0.738695193109197,0.048117867787164634,6.513900217034667,1,0.011183302676291695,0.011183302676291695,2,4.302652729696142,50.38664333333333,0.21566478939826936,49.52688,0.18633018824300474,31.62834,0.20929385029177983,30.69281,0.2002549960333621,660.453405783288,13.419763321644135,-1175.8010324500747,13.097863839206369
800 ml/min | 80°C,G06 · 800 ml/min | 80°C,experimento único,39,800 ml/min,80°C,710.06,5.317,1.4362889691580998,1.0145100723306666,70.63411988225012,1,0.23578711461622245,0.23578711461622245,2,4.302652729696142,81.39806666666667,0.2157349141617726,80.72434,0.18650094922300267,61.002539999999996,0.20910439301418154,59.49878666666666,0.19988414745640265,562.5934252714815,14.593566863600651,-726.8293368270676,14.772782732048539
800 ml/min | 55°C,G04 · 800 ml/min | 55°C,experimento único,15,800 ml/min,55°C,715.88,5.7168,0.8036632397888297,0.2733353203752416,34.011176179597705,1,0.12955412939739597,0.12955412939739597,17,2.1098155778331806,56.12597333333333,0.21588203548265453,55.79225666666667,0.1866194840816339,36.63036333333334,0.20998092292248277,35.69345666666667,0.20091966809249093,531.5842767304964,13.344159108844668,-544.660609742501,13.132943654082304
800 ml/min | 60°C,G05 · 800 ml/min | 60°C,grupo com réplicas,"1, 13, 21, 28",800 ml/min,60°C,716.71,8.4216,0.9588145263890321,0.12819998554656173,13.370676185870122,3,0.0907465826332643,0.05239256391135375,6,2.4469118511449692,61.113976666666666,0.5774099049454793,60.50797333333333,1.3219214359095164,42.142737777777775,0.6980121710784856,41.14460444444445,1.006193736049409,973.4729668761703,1077.2508352278016,-449.16532157277885,161.48814633508303
800 ml/min | 40°C,G01 · 800 ml/min | 40°C,grupo com réplicas,"24, 32, 33, 7",800 ml/min,40°C,717.85,8.8987,0.449922444930785,0.0666882506150042,14.822165767983272,4,0.05640494515784801,0.028202472578924005,7,2.3646242515927844,39.935561666666665,1.3258558023250953,39.48106166666666,1.4695706786790774,20.799755,1.2580767531810229,20.127763333333334,1.312067187581819,-397.8068377071904,3180.4083033416905,-402.80450226473107,57.27323745432599
800 ml/min | 45°C,G02 · 800 ml/min | 45°C,experimento único,19,800 ml/min,45°C,720.44,7.2894,0.5344751319811062,0.2733353203752416,51.14088645473295,1,0.12955412939739597,0.12955412939739597,17,2.1098155778331806,45.96684,0.2157734375105573,45.592526666666664,0.18647905689456737,25.876216666666664,0.20903086915205504,25.178093333333333,0.19944990560656564,424.92611656144527,16.071113310427993,-547.6605429618978,13.358876071452945
1000 ml/min | 45°C,G08 · 1000 ml/min | 45°C,experimento único,16,1000 ml/min,45°C,871.44,5.7866,0.7110608502361764,0.2733353203752416,38.440496377272666,1,0.12955412939739597,0.12955412939739597,17,2.1098155778331806,45.48397333333333,0.21572185858116244,45.051226666666665,0.1864784477988974,25.809276666666666,0.20990410835183868,25.03551,0.20036325054206908,8375.783748873164,14.246684614026211,-667.0768961208285,13.356462876844686
1000 ml/min | 40°C,G07 · 1000 ml/min | 40°C,grupo com réplicas,"25, 31, 34, 6",1000 ml/min,40°C,872.2,12.0883,0.4921433535139137,0.07700495888871581,15.646855400748342,3,0.05640494515784801,0.03256541027050963,7,2.3646242515927844,39.26972777777778,0.43768207255017333,38.73199,0.5938613088563108,20.394407777777776,0.23704501856353402,19.754657777777776,0.28082671834392425,1047.2146478612885,960.4085459236604,-1539.531302765871,4818.5272915957685
1000 ml/min | 60°C,G11 · 1000 ml/min | 60°C,grupo com réplicas,"22, 27, 36, 8",1000 ml/min,60°C,872.2,12.0883,1.0922558948366883,0.12819998554656173,11.737174974526452,3,0.0907465826332643,0.05239256391135375,6,2.4469118511449692,61.14655,1.6434531633541518,60.39875333333333,0.62224073555474,41.18168,1.1974627778004727,40.186659999999996,1.47396772135689,948.5266725290943,648.9424454128972,-598.1682368462422,643.9332766152662
1000 ml/min | 50°C,G09 · 1000 ml/min | 50°C,grupo com réplicas,"14, 2, 3",1000 ml/min,50°C,880.15,15.0313,0.7779407249746034,0.02778086391975032,3.57107720779848,3,0.011183302676291695,0.006456682810586072,2,4.302652729696142,50.70454888888889,0.6556190513145556,50.21186555555556,1.2094455071487047,31.535882222222217,0.24085557927074966,30.76035111111111,0.21488376650948307,755.3154717000028,445.7070417060364,-776.5654224994793,185.69871649960928
1000 ml/min | 55°C,G10 · 1000 ml/min | 55°C,experimento único,11,1000 ml/min,55°C,884.5,12.6646,0.9921212424950725,0.2733353203752416,27.550596506515095,1,0.12955412939739597,0.12955412939739597,17,2.1098155778331806,55.791893333333334,0.21577923030646626,55.24532666666667,0.18651679098156382,36.61067333333334,0.20933595851199363,35.64143333333333,0.19979255878493765,956.0621602207314,14.54104318346721,-730.7211970645304,13.318877592908656
